order_id,user_id,store_id,total_price,status,created_at,updated_at,delivery_type,shipping_address
13,8,2,339785,completed,2024-02-03 18:39:07,2024-02-03 18:39:07,delivery,
14,8,11,254528,completed,2024-09-15 23:24:22,2024-09-15 23:24:22,takeaway,
15,8,11,119598,completed,2025-10-30 04:48:33,2025-10-30 04:48:33,takeaway,
16,8,1,551555,completed,2025-06-23 22:20:40,2025-06-23 22:20:40,takeaway,
17,8,8,246798,completed,2024-01-10 12:23:18,2024-01-10 12:23:18,dine-in,
18,8,14,297108,cancelled,2024-12-05 01:12:11,2024-12-05 01:12:11,delivery,
19,8,3,334405,completed,2025-01-28 08:29:29,2025-01-28 08:29:29,delivery,
20,8,3,253271,completed,2024-06-13 21:04:44,2024-06-13 21:04:44,dine-in,
21,8,5,53744,completed,2024-07-19 04:03:12,2024-07-19 04:03:12,takeaway,
22,8,10,247000,pending,2024-03-09 11:57:32,2024-03-09 11:57:32,delivery,
23,8,6,392969,completed,2024-02-04 17:58:46,2024-02-04 17:58:46,takeaway,
24,9,13,70149,completed,2024-05-03 13:12:03,2024-05-03 13:12:03,dine-in,
25,9,1,128095,completed,2025-11-14 16:35:37,2025-11-14 16:35:37,delivery,
26,9,6,158349,completed,2025-06-03 02:09:01,2025-06-03 02:09:01,delivery,
27,9,6,78356,completed,2024-12-12 18:38:34,2024-12-12 18:38:34,takeaway,
28,9,10,433225,completed,2024-10-18 11:27:20,2024-10-18 11:27:20,delivery,
29,9,9,229793,completed,2025-10-26 10:57:33,2025-10-26 10:57:33,delivery,
30,9,2,200770,pending,2024-11-11 19:36:48,2024-11-11 19:36:48,takeaway,
31,9,2,503704,completed,2025-07-11 11:41:59,2025-07-11 11:41:59,takeaway,
32,9,9,513724,completed,2025-10-21 04:06:03,2025-10-21 04:06:03,takeaway,
33,9,12,90625,pending,2025-07-17 07:55:31,2025-07-17 07:55:31,delivery,
34,9,15,229269,completed,2025-11-29 04:57:19,2025-11-29 04:57:19,takeaway,
35,9,3,57499,completed,2024-02-15 23:25:00,2024-02-15 23:25:00,delivery,
36,9,12,194904,completed,2025-03-30 23:04:48,2025-03-30 23:04:48,delivery,
37,9,3,469915,completed,2025-01-11 19:30:09,2025-01-11 19:30:09,delivery,
38,9,5,257043,pending,2024-02-15 05:23:20,2024-02-15 05:23:20,dine-in,
39,10,6,489679,completed,2025-08-03 17:33:03,2025-08-03 17:33:03,delivery,
40,10,9,132020,completed,2024-05-25 23:04:58,2024-05-25 23:04:58,dine-in,
41,10,9,115040,completed,2024-03-23 18:42:33,2024-03-23 18:42:33,dine-in,
42,10,14,278592,completed,2024-09-19 07:07:03,2024-09-19 07:07:03,delivery,
43,10,15,157626,completed,2025-03-22 17:04:38,2025-03-22 17:04:38,delivery,
44,10,11,273101,completed,2025-07-24 08:35:16,2025-07-24 08:35:16,dine-in,
45,10,6,297556,cancelled,2025-03-17 02:26:39,2025-03-17 02:26:39,delivery,
46,10,15,228724,completed,2025-11-06 01:16:17,2025-11-06 01:16:17,delivery,
47,10,7,300382,completed,2025-06-06 07:04:49,2025-06-06 07:04:49,dine-in,
48,10,8,251704,completed,2024-07-03 13:20:41,2024-07-03 13:20:41,takeaway,
49,10,1,132505,cancelled,2024-05-28 20:19:07,2024-05-28 20:19:07,dine-in,
50,10,6,73733,completed,2024-08-29 14:12:54,2024-08-29 14:12:54,dine-in,
51,10,13,257365,completed,2024-11-30 06:27:02,2024-11-30 06:27:02,delivery,
52,11,9,543556,completed,2024-02-18 09:50:23,2024-02-18 09:50:23,takeaway,
53,11,12,255791,cancelled,2025-06-19 05:18:50,2025-06-19 05:18:50,delivery,
54,11,14,201723,pending,2024-04-10 10:17:46,2024-04-10 10:17:46,delivery,
55,11,15,324245,completed,2025-08-25 02:06:40,2025-08-25 02:06:40,delivery,
56,11,7,150933,completed,2024-07-13 22:34:08,2024-07-13 22:34:08,delivery,
57,11,15,55159,completed,2024-09-11 12:35:04,2024-09-11 12:35:04,dine-in,
58,11,9,371645,cancelled,2024-06-07 18:33:07,2024-06-07 18:33:07,takeaway,
59,11,4,185412,completed,2025-11-01 05:55:50,2025-11-01 05:55:50,dine-in,
60,11,13,187611,completed,2025-08-16 23:11:35,2025-08-16 23:11:35,takeaway,
61,11,2,68563,pending,2025-11-20 18:40:46,2025-11-20 18:40:46,delivery,
62,11,6,68751,completed,2024-07-11 00:21:41,2024-07-11 00:21:41,takeaway,
63,12,4,377156,pending,2025-07-07 10:52:47,2025-07-07 10:52:47,delivery,
64,12,4,273169,completed,2025-05-17 16:28:20,2025-05-17 16:28:20,dine-in,
65,12,8,59250,completed,2025-02-23 22:35:54,2025-02-23 22:35:54,dine-in,
66,12,14,202755,completed,2025-08-22 19:45:20,2025-08-22 19:45:20,delivery,
67,12,12,272649,completed,2025-03-15 17:40:23,2025-03-15 17:40:23,takeaway,
68,12,6,155186,completed,2024-04-06 18:32:21,2024-04-06 18:32:21,delivery,
69,12,8,217500,completed,2025-01-16 11:34:58,2025-01-16 11:34:58,delivery,
70,12,11,434546,completed,2024-10-24 06:08:28,2024-10-24 06:08:28,takeaway,
71,12,15,402972,completed,2025-03-21 02:20:06,2025-03-21 02:20:06,dine-in,
72,12,10,94770,completed,2024-06-14 22:01:57,2024-06-14 22:01:57,takeaway,
73,12,1,68125,completed,2025-01-01 11:03:33,2025-01-01 11:03:33,delivery,
74,12,1,238787,completed,2025-05-31 18:41:11,2025-05-31 18:41:11,takeaway,
75,13,9,170715,completed,2024-02-03 08:37:25,2024-02-03 08:37:25,takeaway,
76,13,5,385963,completed,2025-08-06 12:45:19,2025-08-06 12:45:19,dine-in,
77,13,15,352779,completed,2024-08-28 10:33:18,2024-08-28 10:33:18,dine-in,
78,13,4,475195,completed,2024-11-24 22:20:57,2024-11-24 22:20:57,dine-in,
79,13,6,99153,completed,2024-01-21 23:54:02,2024-01-21 23:54:02,delivery,
80,13,4,303305,pending,2024-11-11 20:19:38,2024-11-11 20:19:38,takeaway,
81,14,3,213928,completed,2024-04-16 21:22:54,2024-04-16 21:22:54,takeaway,
82,14,4,232933,cancelled,2024-07-09 16:15:49,2024-07-09 16:15:49,delivery,
83,14,7,297729,completed,2025-08-12 08:57:29,2025-08-12 08:57:29,dine-in,
84,14,3,268917,completed,2025-10-23 21:38:26,2025-10-23 21:38:26,delivery,
85,14,3,70613,completed,2024-12-30 02:17:15,2024-12-30 02:17:15,dine-in,
86,14,8,87910,completed,2024-06-18 17:18:16,2024-06-18 17:18:16,dine-in,
87,14,15,313196,completed,2025-10-18 14:05:54,2025-10-18 14:05:54,takeaway,
88,14,11,255613,completed,2024-08-29 02:04:06,2024-08-29 02:04:06,delivery,
89,14,4,171909,pending,2025-09-12 10:12:51,2025-09-12 10:12:51,takeaway,
90,14,4,141954,completed,2024-12-09 08:38:23,2024-12-09 08:38:23,dine-in,
91,14,8,104252,completed,2025-03-22 18:05:28,2025-03-22 18:05:28,delivery,
92,14,14,67256,pending,2025-01-17 20:36:53,2025-01-17 20:36:53,delivery,
93,15,11,177399,pending,2024-06-18 18:32:15,2024-06-18 18:32:15,takeaway,
94,15,10,118479,completed,2024-01-07 20:53:36,2024-01-07 20:53:36,delivery,
95,15,3,204188,completed,2024-08-23 19:17:04,2024-08-23 19:17:04,takeaway,
96,15,15,84057,pending,2025-03-09 15:40:36,2025-03-09 15:40:36,dine-in,
97,15,1,178682,completed,2024-04-26 09:12:02,2024-04-26 09:12:02,delivery,
98,15,13,188556,completed,2025-11-08 06:24:25,2025-11-08 06:24:25,delivery,
99,15,4,385585,completed,2025-08-17 20:46:46,2025-08-17 20:46:46,dine-in,
100,15,13,82428,completed,2024-06-04 16:56:28,2024-06-04 16:56:28,dine-in,
101,15,3,68494,completed,2024-03-13 03:13:35,2024-03-13 03:13:35,delivery,
102,15,15,269000,completed,2024-07-16 07:53:43,2024-07-16 07:53:43,takeaway,
103,15,7,492547,completed,2025-05-21 01:08:12,2025-05-21 01:08:12,takeaway,
104,15,6,208450,completed,2024-11-09 14:20:15,2024-11-09 14:20:15,dine-in,
105,15,5,310148,completed,2024-03-22 00:50:13,2024-03-22 00:50:13,dine-in,
106,15,14,344320,pending,2025-06-07 15:20:18,2025-06-07 15:20:18,delivery,
107,16,2,130931,completed,2025-08-11 04:52:34,2025-08-11 04:52:34,takeaway,
108,16,9,352973,completed,2025-05-30 14:37:31,2025-05-30 14:37:31,dine-in,
109,16,13,371778,cancelled,2025-06-22 23:11:52,2025-06-22 23:11:52,dine-in,
110,16,5,75190,completed,2025-04-07 20:57:56,2025-04-07 20:57:56,delivery,
111,16,7,338822,completed,2024-05-22 23:19:22,2024-05-22 23:19:22,takeaway,
112,16,13,206071,completed,2024-02-26 09:22:22,2024-02-26 09:22:22,dine-in,
113,16,10,386951,pending,2024-02-22 21:04:13,2024-02-22 21:04:13,dine-in,
114,16,11,56169,completed,2024-08-26 01:05:23,2024-08-26 01:05:23,dine-in,
115,16,11,520738,completed,2025-06-29 06:56:14,2025-06-29 06:56:14,dine-in,
116,16,12,384328,completed,2024-11-04 00:39:24,2024-11-04 00:39:24,delivery,
117,16,9,239947,completed,2025-02-17 18:48:10,2025-02-17 18:48:10,takeaway,
118,17,1,236750,completed,2024-12-26 14:47:23,2024-12-26 14:47:23,takeaway,
119,17,11,344570,completed,2025-01-22 12:58:45,2025-01-22 12:58:45,takeaway,
120,17,14,77973,pending,2024-07-01 13:28:22,2024-07-01 13:28:22,delivery,
121,17,15,350317,completed,2024-10-21 08:14:24,2024-10-21 08:14:24,takeaway,
122,17,6,535973,completed,2024-07-05 20:27:26,2024-07-05 20:27:26,delivery,
123,17,5,175137,completed,2024-04-17 18:51:47,2024-04-17 18:51:47,delivery,
124,17,4,134938,completed,2025-10-01 04:14:24,2025-10-01 04:14:24,takeaway,
125,18,13,155526,pending,2024-11-26 22:36:25,2024-11-26 22:36:25,takeaway,
126,18,5,346787,completed,2025-02-11 16:50:40,2025-02-11 16:50:40,dine-in,
127,18,2,176248,completed,2024-07-27 04:28:08,2024-07-27 04:28:08,takeaway,
128,18,1,25604,completed,2024-02-20 20:51:34,2024-02-20 20:51:34,delivery,
129,18,1,184410,completed,2024-12-20 05:54:08,2024-12-20 05:54:08,dine-in,
130,18,5,440393,completed,2024-11-22 12:12:59,2024-11-22 12:12:59,delivery,
131,18,13,426543,completed,2025-09-14 06:48:25,2025-09-14 06:48:25,takeaway,
132,18,7,377982,completed,2024-11-18 00:45:57,2024-11-18 00:45:57,takeaway,
133,18,5,500422,completed,2024-11-13 19:38:00,2024-11-13 19:38:00,dine-in,
134,18,9,347674,completed,2024-12-12 06:54:14,2024-12-12 06:54:14,delivery,
135,18,5,526755,completed,2025-09-13 14:29:17,2025-09-13 14:29:17,dine-in,
136,18,15,353859,completed,2024-07-04 16:50:58,2024-07-04 16:50:58,dine-in,
137,18,10,78042,completed,2025-09-17 21:03:52,2025-09-17 21:03:52,delivery,
138,18,8,173431,completed,2025-02-22 06:34:53,2025-02-22 06:34:53,delivery,
