user_id,full_name,email,phone,password,date_of_birth,gender,image_url,created_at,updated_at,firebase_uid
8,"Đoàn Tài",null,null,NULL,null,null,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/users/1764391964300.jpg,"2025-11-07 18:36:45","2025-11-07 18:36:45",odeaDuyi4JdrYjYlUOcb5Fh1NZm1
10,De,de@gmail.com,9,$2b$10$f.Nvo2GTRaJHM22/pm9XxOa/vse2tjLWxmN0zDN8GegT59oX6xrY2,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-09 01:40:44","2025-11-09 01:40:44",NULL
11,De,tde@gmail.com,99,$2b$10$N9h5kbnMarCmMRIIiVoU6O2qYPxdo.cn6rNsudDXZ2IYILSOv4Yt6,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-09 01:44:13","2025-11-09 01:44:13",NULL
12,DTD,dtde@gmail.com,0123456789,$2b$10$X0.0iGf0C.Qh/X4XarwXQugedr5uoUxhUJmsWH7qPG1351oNJVO4i,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-09 01:47:13","2025-11-09 01:47:13",NULL
13,taii,taidaon@gmail.com,099999999999,$2b$10$XE53NiDpJJdMMCM.1c1mVeAffrq9eYpoqd1XK8Px5QmnbXmqZO4S.,18/12/2025,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/upload/users/1762819287966.png,"2025-11-11 06:59:57","2025-11-11 06:59:57",NULL
16,"Đoàn Tài",taidoan.13072005@gmail.com,NULL,NULL,NULL,NULL,https://lh3.googleusercontent.com/a/ACg8ocLF5sWWsRueP3O-EUt3EATYioGpiBBPq3A1B6cqTQc4j1VFWQ=s96-c,"2025-11-11 10:32:13","2025-11-11 10:32:13",hp9KTOpv90O9JOFGaMn5FGvv9o82
17,"Trung Nguyễn Đức",nguyentrung26gl@gmail.com,NULL,NULL,NULL,NULL,https://lh3.googleusercontent.com/a/ACg8ocKzk1E8KlhwhgBJe5CkMHcnJwrPcziH5jonbJKHe3ULRPW7eos=s96-c,"2025-11-11 10:33:44","2025-11-11 10:33:44",HFr0btfuEYPd4XPfJgamQRsN4IS2
18,tai,taidoan.13072005@gmail.com,0395082873,$2b$10$Yazdv0/lPwXaqtF8U31NTeM0kiFSJaKRA5IJoWmRL9sTnFSLxlOvS,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-11 10:36:29","2025-11-11 10:36:29",NULL
19,tai,taidoan.13072005@gmail.com,0395082873,$2b$10$9mjOLU7EbsfaMXFBsgvSpOWdVeix9YRI67UB5TZNrougLFT5lgKxG,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-25 13:43:28","2025-11-25 13:43:28",NULL
20,thanhde,de@gmail.com,0123456789,$2b$10$TG1bzC8vS8ohV1XCA7sTAe5e4Ya3RAIsEj2BEft5CU7uRSMce04sm,NULL,NULL,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,"2025-11-25 13:51:05","2025-11-25 13:51:05",NULL
